user_id,venue_id,probability
1359650,51,1.1731480698427112e-50
1758727,51,1.2799101036670987e-46
1365850,51,1.577886934882856e-70
1378197,51,1.908851018518352e-41
1620974,51,1.770722602473004e-51
1760616,51,5.211419931778939e-52
1791793,51,1.9060762095426695e-43
1800595,51,5.6123017276885514e-36
1337364,51,3.9506285189840606e-54
1339981,51,4.3012156182473885e-51
1359650,60,1.4341327042573549e-34
1758727,60,9.340338903288575e-34
1365850,60,1.3077667725241565e-25
1378197,60,1.9488212694641053e-30
1620974,60,5.5394198536113475e-33
1760616,60,5.394450236923121e-21
1791793,60,6.500415284093598e-27
1800595,60,1.5053233434438876e-24
1337364,60,1.0848166162520437e-18
1339981,60,2.940396490711322e-34
1359650,64,5.876572422574752e-42
1758727,64,1.5278891410435317e-41
1365850,64,4.0567096396330265e-30
1378197,64,2.4494717142727624e-35
1620974,64,6.061770539360272e-41
1760616,64,2.5993861242568053e-24
1791793,64,2.0853806388564002e-32
1800595,64,5.830158904216412e-30
1337364,64,3.1011044543640667e-29
1339981,64,1.3692034359333812e-39
1359650,7489,1.1653952537568622e-42
1758727,7489,1.8941199055774684e-40
1365850,7489,4.4039503893110086e-32
1378197,7489,3.640021914407357e-36
1620974,7489,9.414078385190695e-41
1760616,7489,9.82113711203601e-26
1791793,7489,1.790012895652047e-33
1800595,7489,4.3219275256620165e-31
1337364,7489,3.8152630596030965e-31
1339981,7489,2.9374609291465823e-39
1359650,28192,1.643851269441384e-46
1758727,28192,7.707378814748172e-42
1365850,28192,9.465810683355996e-56
1378197,28192,4.848835596645573e-39
1620974,28192,4.345177343168929e-45
1760616,28192,7.337548670735985e-41
1791793,28192,8.681366686916281e-38
1800595,28192,1.4344359184172686e-33
1337364,28192,2.4799757414423262e-39
1339981,28192,1.1072726445061042e-45
1359650,84329,1.1439808631300504e-44
1758727,84329,2.3489545421087152e-43
1365850,84329,2.32156233755244e-50
1378197,84329,4.797907894968174e-38
1620974,84329,6.674995785583896e-46
1760616,84329,5.839165332021309e-32
1791793,84329,4.1976683864082194e-37
1800595,84329,3.574241460888847e-33
1337364,84329,5.6311956608732645e-40
1339981,84329,1.8797779461067968e-44
1359650,165086,3.363660255118114e-49
1758727,165086,1.2347187075948244e-45
1365850,165086,3.254886064521639e-68
1378197,165086,1.8457514808061334e-40
1620974,165086,3.420388225744359e-50
1760616,165086,5.0450279481122175e-51
1791793,165086,1.107131016988536e-41
1800595,165086,5.433110254034369e-35
1337364,165086,1.5315811335350741e-52
1339981,165086,2.4896083126618137e-49
1359650,905671,3.6998373666869496e-50
1758727,905671,4.04577449888018e-46
1365850,905671,2.218010856852138e-70
1378197,905671,6.037294198064902e-41
1620974,905671,1.1197647244730256e-50
1760616,905671,3.6638519109617e-52
1791793,905671,1.2060480538456446e-42
1800595,905671,1.7755600595574722e-35
1337364,905671,5.000858793194764e-53
1339981,905671,5.438428343563286e-50
1359650,36189,6.144745063204176e-50
1758727,36189,3.357722789168827e-46
1365850,36189,4.6013452802193074e-70
1378197,36189,5.009835741379017e-41
1620974,36189,4.6463181343519485e-51
1760616,36189,1.520050630795006e-51
1791793,36189,1.0007250017569425e-42
1800595,36189,1.473280718835783e-35
1337364,36189,3.4576615019315174e-54
1339981,36189,2.256766262120944e-50
1359650,2964,1.0412633468509268e-41
1758727,2964,9.208108184550566e-40
1365850,2964,1.93813475755449e-33
1378197,2964,1.4727138422132854e-36
1620974,2964,1.8363196673060595e-40
1760616,2964,9.840401189498024e-29
1791793,2964,3.376838590973236e-32
1800595,2964,1.5818044662181286e-30
1337364,2964,1.9933911457596742e-29
1339981,2964,8.705435204016411e-38
1359650,43975,6.999446422313905e-50
1758727,43975,7.677246639450612e-46
1365850,43975,4.422699958651117e-69
1378197,43975,1.1465073683630055e-40
1620974,43975,1.0628352548391016e-50
1760616,43975,2.6101714501856598e-52
1791793,43975,1.145603870535471e-42
1800595,43975,3.3731466505190567e-35
1337364,43975,1.584012273150945e-53
1339981,43975,2.5799853486687575e-50
1359650,81495,5.072875777127715e-49
1758727,81495,1.872606112874629e-45
1365850,81495,4.844504360761913e-66
1378197,81495,2.80324276581631e-40
1620974,81495,1.816880624663198e-49
1760616,81495,4.580072468019985e-48
1791793,81495,5.889237718558459e-41
1800595,81495,8.257347103501906e-35
1337364,81495,2.1740691088330065e-51
1339981,81495,1.7620418326291414e-48
1359650,2141,2.8568989400261453e-49
1758727,2141,1.0470043339862975e-45
1365850,2141,3.310715882523072e-67
1378197,2141,1.5645091260650685e-40
1620974,2141,2.899800136383205e-50
1760616,2141,1.3681403204215584e-49
1791793,2141,9.382446687548366e-42
1800595,2141,4.604321125850784e-35
1337364,2141,5.19074027248711e-52
1339981,2141,7.037043274854697e-50
1359650,2879,7.476515154836927e-51
1758727,2879,8.153806993598905e-47
1365850,2879,6.700762480424014e-71
1378197,2879,1.2159385760954288e-41
1620974,2879,1.1280044480005838e-51
1760616,2879,5.53252956755419e-53
1791793,2879,1.2141132119867428e-43
1800595,2879,3.574867386271816e-36
1337364,2879,1.67754114663855e-54
1339981,2879,2.740136349307572e-51
1359650,11850,9.605570574561073e-51
1758727,11850,1.0477727306930606e-46
1365850,11850,2.8703199666571862e-70
1378197,11850,1.562568192825081e-41
1620974,11850,1.4495320279121086e-51
1760616,11850,2.3699553889719284e-52
1791793,11850,1.5602596142158713e-43
1800595,11850,4.59407010310853e-36
1337364,11850,8.623452871746872e-54
1339981,11850,3.5211038812167133e-51
