id,user_id,venue_id,latitude,longitude,created_at
429031,485,7620,37.7749295,-122.4194155,2012-01-23 21:43:23
431325,29081,5222,51.632594,-0.12797,2012-01-23 22:29:31
454793,29081,96275,51.632594,-0.12797,2012-01-24 03:35:40
544724,29081,2426,51.632594,-0.12797,2012-01-27 19:54:58
568886,61,1619,40.7143528,-74.0059731,2012-01-28 06:45:05
617841,1977,5222,37.4852152,-122.2363548,2012-01-30 01:22:41
620107,1977,7620,37.4852152,-122.2363548,2012-01-30 04:01:55
627348,1396,886310,39.1361111,-84.5030556,2012-01-30 14:47:17
639220,48,5222,37.424106,-122.1660756,2012-01-31 04:01:42
677041,485,2966,37.7749295,-122.4194155,2012-03-16 19:38:31
694732,1977,5222,37.4852152,-122.2363548,2012-03-17 04:33:18
704079,485,182463,37.7749295,-122.4194155,2012-03-17 14:27:02
739498,485,182463,37.7749295,-122.4194155,2012-03-18 16:14:32
742521,485,4202,37.7749295,-122.4194155,2012-03-18 18:40:34
751477,485,60,37.7749295,-122.4194155,2012-03-18 23:02:30
752319,485,44209,37.7749295,-122.4194155,2012-03-18 23:20:49
763585,485,17624,37.7749295,-122.4194155,2012-03-19 08:08:19
790046,485,319221,37.7749295,-122.4194155,2012-03-20 07:43:13
790153,485,38137,37.7749295,-122.4194155,2012-03-20 09:09:35
890981,1396,259661,39.1361111,-84.5030556,2012-04-02 15:25:32
916539,1396,9310,39.1361111,-84.5030556,2012-04-04 15:47:03
961633,1977,5222,37.4852152,-122.2363548,2012-04-17 13:47:39
